Year,Event,Athlete,Country,Time
2009,FINA World Championships,Lotte FRIIS,DEN,8:15.92
2009,FINA World Championships,Joanne JACKSON,GBR,8:16.66
2009,FINA World Championships,Alessia FILIPPI,ITA,8:17.21
2009,FINA World Championships,Rebecca ADLINGTON,GBR,8:17.90
2009,FINA World Championships,Camelia POTEC,ROU,8:20.44
2009,FINA World Championships,Erika VILLAECIJA,ESP,8:25.97
2009,FINA World Championships,Ophelie-Cyrielle ETIENNE,FRA,8:26.35
2009,FINA World Championships,Wendy TROTT,RSA,8:29.61
2009,FINA World Championships,Kristel KOBRICH,CHI,8:30.10
